datahora, temperatura_C, pressão_Pa, humidade_Rel, radiação_W/m2
2021-11-27 10:48:00,10.80,100.4,70.00,171.00
2021-11-27 11:18:00,11.30,100.4,70.00,58.00
2021-11-27 11:48:00,11.60,100.4,60.00,120.00
2021-11-27 12:18:00,11.40,100.4,60.00,343.00
2021-11-27 12:48:00,11.40,100.4,60.00,370.00
2021-11-27 13:18:00,12.10,100.4,60.00,348.00
2021-11-27 13:48:00,12.00,100.4,60.00,171.00
2021-11-27 14:18:00,10.50,100.4,70.00,206.00
2021-11-27 14:48:00,10.80,100.4,60.00,245.00
2021-11-27 15:18:00,11.00,100.5,60.00,47.00
2021-11-27 15:48:00,11.10,100.5,60.00,89.00
2021-11-27 16:18:00,10.30,100.5,60.00,27.00
2021-11-27 16:48:00,9.90,100.6,60.00,17.00
2021-11-27 17:18:00,9.30,100.6,60.00,3.00
2021-11-27 17:48:00,8.90,100.6,60.00,0.00
2021-11-27 18:18:00,8.40,100.7,70.00,0.00
2021-11-27 18:48:00,8.10,100.7,70.00,0.00
2021-11-27 19:18:00,8.10,100.7,70.00,0.00
2021-11-27 19:48:00,8.40,100.8,60.00,0.00
2021-11-27 20:18:00,8.20,100.8,60.00,0.00
2021-11-27 20:48:00,8.20,100.8,60.00,0.00
2021-11-27 21:18:00,7.40,100.8,70.00,0.00
2021-11-27 21:48:00,6.60,100.8,70.00,0.00
2021-11-27 22:18:00,6.20,100.8,70.00,0.00
2021-11-27 22:48:00,5.80,100.9,70.00,0.00
2021-11-27 23:18:00,6.00,100.9,70.00,0.00
2021-11-27 23:48:00,5.90,100.9,80.00,0.00
2021-11-28 00:18:00,6.50,100.9,70.00,0.00
2021-11-28 00:48:00,6.20,100.9,80.00,0.00
2021-11-28 01:18:00,5.70,100.9,80.00,0.00
2021-11-28 01:48:00,6.20,100.9,80.00,0.00
2021-11-28 02:18:00,5.70,100.9,80.00,0.00
2021-11-28 02:48:00,5.50,100.9,80.00,0.00
2021-11-28 03:18:00,5.10,100.9,80.00,0.00
2021-11-28 03:48:00,5.20,100.9,80.00,0.00
2021-11-28 04:18:00,5.60,100.9,80.00,0.00
2021-11-28 04:48:00,5.60,101.0,80.00,0.00
2021-11-28 05:18:00,5.80,101.0,80.00,0.00
2021-11-28 05:48:00,4.10,101.0,90.00,0.00
2021-11-28 06:18:00,3.10,101.0,90.00,0.00
2021-11-28 06:48:00,2.70,101.1,90.00,0.00
2021-11-28 07:18:00,2.70,101.1,90.00,0.00
2021-11-28 07:48:00,3.00,101.1,90.00,4.00
2021-11-28 08:18:00,3.10,101.2,90.00,25.00
2021-11-28 08:48:00,4.20,101.2,90.00,42.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-28 09:03:00,4.30,101.2,90.00,48.00
2021-11-29 08:52:00,7.10,101.2,80.00,144.00
2021-11-29 09:18:00,11.00,101.3,90.00,83.00
2021-11-29 09:48:00,11.30,101.4,100.00,60.00
2021-11-29 10:18:00,11.50,101.4,90.00,110.00
2021-11-29 10:48:00,12.10,101.4,90.00,205.00
2021-11-29 11:18:00,12.70,101.4,90.00,128.00
2021-11-29 11:48:00,12.90,101.3,90.00,118.00
2021-11-29 12:18:00,12.60,101.3,90.00,116.00
2021-11-29 12:48:00,12.30,101.3,90.00,198.00
2021-11-29 13:18:00,12.80,101.3,90.00,188.00
2021-11-29 13:48:00,13.20,101.3,80.00,158.00
2021-11-29 14:18:00,13.00,101.3,90.00,142.00
2021-11-29 14:48:00,12.90,101.3,80.00,129.00
2021-11-29 15:18:00,12.90,101.3,80.00,103.00
2021-11-29 15:48:00,12.20,101.3,90.00,48.00
2021-11-29 16:18:00,11.70,101.3,90.00,47.00
2021-11-29 16:48:00,11.00,101.3,90.00,12.00
2021-11-29 17:18:00,10.80,101.3,90.00,1.00
2021-11-29 17:48:00,10.80,101.3,90.00,0.00
2021-11-29 18:18:00,10.70,101.3,90.00,0.00
2021-11-29 18:48:00,10.60,101.3,90.00,0.00
2021-11-29 19:18:00,10.70,101.3,90.00,0.00
2021-11-29 19:48:00,10.60,101.3,90.00,0.00
2021-11-29 20:18:00,10.50,101.3,100.00,0.00
2021-11-29 20:48:00,10.40,101.3,100.00,0.00
2021-11-29 21:18:00,10.30,101.3,90.00,0.00
2021-11-29 21:48:00,10.00,101.3,90.00,0.00
2021-11-29 22:18:00,9.60,101.3,100.00,0.00
2021-11-29 22:48:00,9.40,101.3,100.00,0.00
2021-11-29 23:18:00,9.40,101.3,100.00,0.00
2021-11-29 23:48:00,9.20,101.3,100.00,0.00
2021-11-30 00:18:00,8.80,101.3,100.00,0.00
2021-11-30 00:48:00,8.50,101.3,100.00,0.00
2021-11-30 01:18:00,8.00,101.3,100.00,0.00
2021-11-30 01:48:00,7.90,101.3,100.00,0.00
2021-11-30 02:18:00,7.60,101.4,100.00,0.00
2021-11-30 02:48:00,7.20,101.4,100.00,0.00
2021-11-30 03:18:00,6.90,101.4,100.00,0.00
2021-11-30 03:48:00,6.60,101.4,100.00,0.00
2021-11-30 04:18:00,6.30,101.4,100.00,0.00
2021-11-30 04:48:00,6.00,101.4,100.00,0.00
2021-11-30 05:18:00,5.80,101.4,100.00,0.00
2021-11-30 05:48:00,5.70,101.4,100.00,0.00
2021-11-30 06:18:00,5.60,101.4,100.00,0.00
2021-11-30 06:48:00,5.60,101.4,100.00,0.00
2021-11-30 07:18:00,5.80,101.5,100.00,0.00
2021-11-30 07:48:00,6.00,101.5,100.00,2.00
2021-11-30 08:18:00,6.20,101.5,100.00,20.00
2021-11-30 08:48:00,6.60,101.6,100.00,57.00
2021-11-30 09:18:00,7.10,101.6,100.00,55.00
2021-11-30 09:48:00,7.70,101.6,100.00,128.00
2021-11-30 10:18:00,8.90,101.6,100.00,50.00
2021-11-30 10:48:00,9.50,101.6,100.00,131.00
2021-11-30 11:18:00,10.50,101.6,90.00,77.00
2021-11-30 11:48:00,11.00,101.6,90.00,43.00
2021-11-30 12:18:00,11.60,101.6,90.00,103.00
2021-11-30 12:48:00,11.40,101.6,90.00,303.00
2021-11-30 13:18:00,12.70,101.5,90.00,353.00
2021-11-30 13:48:00,13.90,101.5,80.00,326.00
2021-11-30 14:18:00,14.70,101.5,70.00,289.00
2021-11-30 14:48:00,14.30,101.5,70.00,168.00
2021-11-30 15:18:00,14.10,101.5,70.00,40.00
2021-11-30 15:48:00,13.40,101.5,80.00,37.00
2021-11-30 16:18:00,13.00,101.5,80.00,29.00
2021-11-30 16:48:00,12.60,101.5,80.00,15.00
2021-11-30 17:18:00,11.80,101.5,80.00,3.00
2021-11-30 17:48:00,11.20,101.5,80.00,0.00
2021-11-30 18:18:00,10.60,101.5,80.00,0.00
2021-11-30 18:18:00,10.60,101.5,80.00,0.00
2021-11-30 18:18:00,10.60,101.5,80.00,0.00
2021-11-30 18:18:00,10.60,101.5,80.00,0.00
2021-11-30 18:48:00,10.20,101.5,80.00,0.00
2021-11-30 19:18:00,10.20,101.6,80.00,0.00
2021-11-30 19:48:00,9.30,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
2021-11-30 20:18:00,9.10,101.6,90.00,0.00
